Id_aforament,Desc_aforament,Codi_tipus_aforament,Desc_tipus_aforament,Num_carrils,Codi_districte,Codi_Barri,Codi_tipus_equip_mesura,Desc_tipus_equip_mesura,Longitud,Latitud,X_ETRS89,Y_ETRS89
20287,GRAN VIA -  PAU CLARIS(sentit Besòs),2,Bicis,1,2,7,1,Espira,2.171089,41.391296,430795.03,4582731.92
20288,GRAN VIA - ROGER DE LLÚRIA (sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.170703,41.391473,430762.95,4582751.88
20289,GRAN VIA - BRUC GIR A L'ESQUERRA(sentit Besòs),2,Bicis,1,2,7,1,Espira,2.173368,41.393029,430987.39,4582922.5
20290,GRAN VIA - BRUC (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.173367,41.393019,430987.3,4582921.39
20291,GRAN VIA - GIRONA (sentit Llobregat),2,Bicis,1,2,5,1,Espira,2.16245,41.398939,430958.84,4582944.42
20292,GRAN VIA - ROGER DE FLOR (sentit Besòs),2,Bicis,1,2,5,1,Espira,2.176963,41.395731,431290.79,4583219.61
20293,GRAN VIA - NAPOLS (sentit Llobregat),2,Bicis,1,2,5,1,Espira,2.176654,41.395946,431265.18,4583243.72
20294,GRAN VIA - MARINA (sentit Llobregat),2,Bicis,1,2,5,1,Espira,2.180023,41.398482,431549.48,4583522.6
20295,GRAN VIA -  MARINA GIR A L'ESQUERRA (sentit Llobregat),2,Bicis,1,2,5,1,Espira,2.180044,41.398483,431551.24,4583522.69
20296,GRAN VIA - SARDENYA (sentit Besòs),2,Bicis,1,2,5,1,Espira,2.18036,41.398273,431577.44,4583499.13
20297,AV. DIAGONAL - JOHN MAYNARD KEYNES (sentit Besòs),2,Bicis,1,4,21,1,Espira,2.117067,41.386095,426272.73,4582199.09
20298,AV. DIAGONAL - PERE DURAN FARELL (sentit Llobregat),2,Bicis,1,4,21,1,Espira,2.117055,41.386113,426271.75,4582201.1
20299,AV. DIAGONAL - PERE DURAN FARELL (sentit Besòs),2,Bicis,1,4,21,1,Espira,2.121834,41.387295,426672.65,4582328.27
20300,AV. DIAGONAL - PIUS XII (sentit Llobregat),2,Bicis,1,4,21,1,Espira,2.12181,41.387298,426670.65,4582328.62
20301,VALENCIA - VILAMARI (sentit Besòs),2,Bicis,1,2,9,1,Espira,2.147355444,41.3807473584215,429773.09,4581732.77
20302,VALENCIA - COMTE D'URGELL (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.154615265,41.3861926975842,429417.87,4582184.7
20303,VALENCIA - ENRIC GRANADOS (sentit Besòs),2,Bicis,1,2,7,3,Visió Artificial,2.160343067,41.39054558,429904.47,4582663.22
20304,VALENCIA - PAU CLARIS (sentit Besòs),2,Bicis,1,2,7,3,Visió Artificial,2.166000278,41.3947918,430378.24,4583125.45
20305,VALENCIA - PG. DE SANT JOAN (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.171213728,41.39870726,430820.82,4583560.52
20306,VALENCIA - MARINA (sentit Besòs),2,Bicis,1,2,6,1,Espira,2.177015678,41.40305597,431301.44,4584029.21
20307,VALENCIA - INDEPENDENCIA (sentit Besòs),2,Bicis,1,10,64,1,Espira,2.183682021,41.40805486,431687.6,4584767.5
20308,DIPUTACIO - PAU CLARIS (sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.168132219,41.39133165,430563.96,4582746.86
20309,GRAN VIA - VILAMARI (sentit Besòs),2,Bicis,1,2,9,1,Espira,2.152297366,41.37714291,429198.02,4581170.14
20310,GRAN VIA - COMTE D'URGELL (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.159071188,41.38228875,429781.58,4581742.67
20311,GRAN VIA - PLAÇA UNIVERSITAT (sentit Besòs),2,Bicis,1,2,10,1,Espira,2.16525919,41.38693706,430300.06,4582247.6
20312,GRAN VIA - ENTENÇA (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.15199944,41.37743803,429181.64,4581204.05
20313,GRAN VIA - COMTE D'URGELL (sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.16525919,41.38693706,430303.99,4582251.42
20314,GRAN VIA - BALMES (sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.164903462,41.38712684,430285.89,4582281.76
20315,ROGER DE LLURIA - CASP (sentit muntanya),2,Bicis,1,2,7,3,Visió Artificial,2.17185617,41.39081284,430868.57,4582667.65
20316,ROGER DE LLURIA - CONSELL DE CENT (sentit muntanya),2,Bicis,1,2,7,1,Espira,2.168354118,41.39350901,430564.7,4582976.51
20317,ROGER DE LLURIA - MALLORCA (sentit muntaya),2,Bicis,1,2,7,1,Espira,2.164415194,41.39640114,430233.67,43583314.6
20318,PAU CLARIS - MALLORCA (sentit mar),2,Bicis,1,2,7,1,Espira,2.164955291,41.39445332,430380.43,4582988.14
20319,PAU CLARIS - ARAGÓ (sentit mar),2,Bicis,1,2,7,1,Espira,2.167285357,41.39270654,430566.67,4582795.61
20320,PAU CLARIS - GRAN VIA (sentit mar),2,Bicis,1,2,7,1,Espira,2.170332799,41.39042374,430727.75,4582636.39
20323,COMTE D'URGELL - FLORIDABLANCA (sentit muntanya),2,Bicis,1,2,10,1,Espira,2.16051351,41.38043903,429895.19,4581556.22
20324,COMTE D'URGELL - SEPULVEDA (sentit mar),2,Bicis,1,2,10,1,Espira,2.16051351,41.38043903,429894.51,4581555.55
