Municipios,Distritos,Secciones,Índice de Gini y Distribución de la renta P80/P20,Periodo,Total
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2021,2.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2020,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2019,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2018,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2016,2.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2015,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2023,33.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2022,33.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2021,32.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2020,35.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2019,33.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2018,35.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2017,35.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2016,36.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Índice de Gini,2015,35.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2023,2.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2022,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2021,2.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2020,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2019,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2018,3.1
